"parameter","true","point","lwr","upr","covers","time","fail","method","replicate"
"mu",100,19139.0790785376,43.7220410752498,7301248.16979136,TRUE,75.346,FALSE,"adaptive",1
"alpha",1,1.34210908646192,1.10871462502081,1.64974511258974,FALSE,75.346,FALSE,"adaptive",1
"beta",9,2424.78415094674,5.67948195073384,898172.538216817,TRUE,75.346,FALSE,"adaptive",1
"p_hat",0.1,0.000553190123931783,1.46807280114625e-06,0.197680750645655,TRUE,75.346,FALSE,"adaptive",1
"n_iter",NA,20000,19965,20000,NA,75.346,FALSE,"adaptive",1
"mu",100,857.154439038214,308.915474397387,2343.17202001851,FALSE,7.36499999999995,FALSE,"fixed",1
"alpha",1,1.32022012068069,1.09434006859866,1.63402033225917,FALSE,7.36499999999995,FALSE,"fixed",1
"beta",9,105.675186410493,34.6368083561786,299.62209894564,FALSE,7.36499999999995,FALSE,"fixed",1
"p_hat",0.1,0.0123390355108006,0.00450752281069189,0.0349437700511781,FALSE,7.36499999999995,FALSE,"fixed",1
"n_iter",NA,1000,1000,1000,NA,7.36499999999995,FALSE,"fixed",1
"mu",100,321.956680775001,1.92505865971131,60294.822625866,TRUE,11.871,FALSE,"adaptive",2
"alpha",1,1.10967956942389,0.796196193491119,1.53209029328139,TRUE,11.871,FALSE,"adaptive",2
"beta",9,34.2269952836345,0.141990662242554,9583.4564311618,TRUE,11.871,FALSE,"adaptive",2
"p_hat",0.1,0.0314030557215219,0.000156459949371159,0.860950071448371,TRUE,11.871,FALSE,"adaptive",2
"n_iter",NA,445.5,391,469,NA,11.871,FALSE,"adaptive",2
"mu",100,321.337333969564,1.80038933745463,35839.201564222,TRUE,14.828,FALSE,"fixed",2
"alpha",1,1.10953991099593,0.811053964316921,1.50968314260163,TRUE,14.828,FALSE,"fixed",2
"beta",9,34.1539556648472,0.134736726818184,5657.93589070926,TRUE,14.828,FALSE,"fixed",2
"p_hat",0.1,0.0314642633374102,0.000239606365885346,0.870410306667184,TRUE,14.828,FALSE,"fixed",2
"n_iter",NA,1000,1000,1000,NA,14.828,FALSE,"fixed",2
"mu",100,1652.07109752547,5.63558822419499e-08,1086280183212262,TRUE,41.658,FALSE,"adaptive",3
"alpha",1,1.01440696570303,0.737801686991335,1.43857887199028,TRUE,41.658,FALSE,"adaptive",3
"beta",9,159.580394578551,3.17782291391457e-09,161364158004595,TRUE,41.658,FALSE,"adaptive",3
"p_hat",0.1,0.00631656165672023,8.59787750572108e-15,0.999999995483465,TRUE,41.658,FALSE,"adaptive",3
"n_iter",NA,1937,1873,1970,NA,41.658,FALSE,"adaptive",3
"mu",100,851.641934964341,190.635213367587,4333.03718317509,FALSE,8.37399999999997,FALSE,"fixed",3
"alpha",1,1.00465960687106,0.815050008536367,1.2285483523471,TRUE,8.37399999999997,FALSE,"fixed",3
"beta",9,81.0598096215296,18.0901543330221,415.298282230394,FALSE,8.37399999999997,FALSE,"fixed",3
"p_hat",0.1,0.0122423213885038,0.00233474643227199,0.0524584498417572,FALSE,8.37399999999997,FALSE,"fixed",3
"n_iter",NA,1000,1000,1000,NA,8.37399999999997,FALSE,"fixed",3
"mu",100,78.3606411465497,39.5313659124743,150.217979414631,TRUE,0.879000000000019,FALSE,"adaptive",4
"alpha",1,0.758168449367598,0.531566724370362,1.04852711773843,TRUE,0.879000000000019,FALSE,"adaptive",4
"beta",9,5.15661039279761,1.85944511043777,13.5347948880368,TRUE,0.879000000000019,FALSE,"adaptive",4
"p_hat",0.1,0.128182045279998,0.066077886092191,0.240498074346172,TRUE,0.879000000000019,FALSE,"adaptive",4
"n_iter",NA,133,94,157,NA,0.879000000000019,FALSE,"adaptive",4
"mu",100,78.3617915514244,39.3640107503715,163.566800932284,TRUE,5.81400000000002,FALSE,"fixed",4
"alpha",1,0.758173026317628,0.541557633029791,1.04510130183816,TRUE,5.81400000000002,FALSE,"fixed",4
"beta",9,5.15672596831072,1.88343917477279,14.4899477675858,TRUE,5.81400000000002,FALSE,"fixed",4
"p_hat",0.1,0.128180215250703,0.064230058921499,0.24231502968461,TRUE,5.81400000000002,FALSE,"fixed",4
"n_iter",NA,1000,1000,1000,NA,5.81400000000002,FALSE,"fixed",4
"mu",100,52.3345284355412,36.1548559761434,73.1231658691029,FALSE,0.645999999999958,FALSE,"adaptive",5
"alpha",1,0.698469409481224,0.513421090349646,0.971381920210854,FALSE,0.645999999999958,FALSE,"adaptive",5
"beta",9,2.99628854716986,1.53647905882304,5.58536068962087,FALSE,0.645999999999958,FALSE,"adaptive",5
"p_hat",0.1,0.189043346729623,0.136136430422723,0.26960309171581,FALSE,0.645999999999958,FALSE,"adaptive",5
