"parameter","true","point","lwr","upr","lwr_exact","upr_exact","time","implementation","method","replicate"
"mu",15,17.8365729677376,12.1240834289384,26.2406092054816,10.9507289555074,24.7224169799678,1.365,"Bessel","Fixed",1
"beta",0.1,0.116661961766918,0.0792989774746812,0.171629114986398,0.0716243681893241,0.161699555344512,1.365,"Bessel","Fixed",1
"mu",15,17.8364674772009,12.1240039807085,26.2404707695134,10.9506650791631,24.7222698752387,1.136,"Bessel","Adaptive",1
"beta",0.1,0.116660735443261,0.0792979545470187,0.171627720688468,0.0716236211059793,0.161697849780543,1.136,"Bessel","Adaptive",1
"mu",15,17.8364674772511,12.1240039807463,26.2404707695794,10.9506650792045,24.7222698752978,1.298,"Full","Fixed",1
"beta",0.1,0.116660735443595,0.0792979545472793,0.171627720688886,0.0716236211062529,0.161697849780937,1.298,"Full","Fixed",1
"mu",15,17.836466863127,12.1240034739305,26.2404700595396,10.9506647053321,24.7222690209219,0.469999999999999,"Full","Adaptive",1
"beta",0.1,0.11666073264415,0.0792979523746349,0.171627717154312,0.0716236194082518,0.161697845880049,0.469999999999999,"Full","Adaptive",1
"mu",15,14.5516618358869,9.90649670855636,21.3749490274514,8.9574487508709,20.1458749209029,1.455,"Bessel","Fixed",2
"beta",0.1,0.0921969457194643,0.0627661056565659,0.135427819060631,0.0567526853700612,0.127641206068867,1.455,"Bessel","Fixed",2
"mu",15,14.5516624533074,9.90649721238086,21.3749497542235,8.9574491262891,20.1458757803257,1.152,"Bessel","Adaptive",2
"beta",0.1,0.0921969489527272,0.0627661082121767,0.135427823045156,0.0567526873310512,0.127641210574403,1.152,"Bessel","Adaptive",2
"mu",15,14.5516624532658,9.90649721234156,21.3749497541862,8.95744912626111,20.1458757802705,1.283,"Full","Fixed",2
"beta",0.1,0.0921969489524651,0.0627661082119347,0.135427823044908,0.0567526873308747,0.127641210574055,1.283,"Full","Fixed",2
"mu",15,14.5517448651433,9.90656431950942,21.3750470688622,8.95749922814091,20.1459905021457,0.490000000000002,"Full","Adaptive",2
"beta",0.1,0.0921973941865316,0.0627664612447973,0.135428369326641,0.0567529574400706,0.127641830932993,0.490000000000002,"Full","Adaptive",2
"mu",15,17.9919162178124,12.2291806916699,26.4702155729272,11.0453749060829,24.938457529542,1.57,"Bessel","Fixed",3
"beta",0.1,0.128519057201078,0.0873549422652933,0.189080865209574,0.0788988181743423,0.178139296227815,1.57,"Bessel","Fixed",3
"mu",15,17.9919119575354,12.2291770338719,26.4702109545972,11.045372306107,24.9384516089637,1.111,"Bessel","Adaptive",3
"beta",0.1,0.128519051214673,0.0873549390761235,0.189080854497834,0.0788988146094852,0.17813928781986,1.111,"Bessel","Adaptive",3
"mu",15,17.9919119575822,12.2291770339004,26.4702109546732,11.0453723061363,24.938451609028,1.254,"Full","Fixed",3
"beta",0.1,0.128519051215013,0.0873549390763424,0.189080854498362,0.0788988146096987,0.178139287820328,1.254,"Full","Fixed",3
"mu",15,17.9919037285368,12.2291702526147,26.470201419244,11.0453672968686,24.9384401602051,0.456000000000003,"Full","Adaptive",3
"beta",0.1,0.128519009236112,0.0873549064036793,0.18908080169766,0.0788987891427729,0.17813922932945,0.456000000000003,"Full","Adaptive",3
"mu",15,20.7173340014162,14.0699768068109,30.5052335209583,12.7012700425407,28.7333979602916,2.064,"Bessel","Fixed",4
"beta",0.1,0.121947762260057,0.0828196402467716,0.179561957476807,0.0747630674546468,0.169132457065466,2.064,"Bessel","Fixed",4
"mu",15,20.7173156438505,14.0699619152505,30.5052117462884,12.7012588784144,28.7333724092865,1.224,"Bessel","Adaptive",4
"beta",0.1,0.121947663548369,0.0828195613636542,0.179561837807951,0.0747630074693022,0.169132319627435,1.224,"Bessel","Adaptive",4
"mu",15,20.7173156438767,14.0699619152943,30.505211746271,12.7012588784284,28.7333724093251,1.085,"Full","Fixed",4
"beta",0.1,0.121947663548512,0.0828195613639195,0.179561837807798,0.0747630074693776,0.169132319627647,1.085,"Full","Fixed",4
