"phi_0","L","target_error","error","success","n_iter","method","row_id","comparative_error","comparative_success"
0.1,0,2.22044604925031e-16,-3.17208077888418e-07,FALSE,3e+05,"Threshold","0.1_0_2.22044604925031e-16",1,TRUE
0.1,0,2.22044604925031e-16,-3.17208077888418e-07,FALSE,3e+05,"Batches_C","0.1_0_2.22044604925031e-16",1,TRUE
0.1,0,2.22044604925031e-16,-2.37906322733865e-07,FALSE,3e+05,"BoundingPair","0.1_0_2.22044604925031e-16",0.750000833262361,TRUE
0.1,0,2.22044604925031e-16,-9.51150165335049e-05,FALSE,1000,"Fixed_1000","0.1_0_2.22044604925031e-16",299.850549729578,FALSE
0.1,0,2.22044604925031e-16,-3.17208077888418e-07,FALSE,3e+05,"Fixed_3e+05","0.1_0_2.22044604925031e-16",1,TRUE
1,0,2.22044604925031e-16,-2.10706501774023e-06,FALSE,3e+05,"Threshold","1_0_2.22044604925031e-16",1,TRUE
1,0,2.22044604925031e-16,-2.10706501774023e-06,FALSE,3e+05,"Batches_C","1_0_2.22044604925031e-16",1,TRUE
1,0,2.22044604925031e-16,-1.58030051915137e-06,FALSE,3e+05,"BoundingPair","1_0_2.22044604925031e-16",0.750000833313723,TRUE
1,0,2.22044604925031e-16,-0.00063180460390262,FALSE,1000,"Fixed_1000","1_0_2.22044604925031e-16",299.850549737765,FALSE
1,0,2.22044604925031e-16,-2.10706501774023e-06,FALSE,3e+05,"Fixed_3e+05","1_0_2.22044604925031e-16",1,TRUE
10,0,2.22044604925031e-16,-3.33317644525986e-06,FALSE,3e+05,"Threshold","10_0_2.22044604925031e-16",1,TRUE
10,0,2.22044604925031e-16,-3.33317644525986e-06,FALSE,3e+05,"Batches_C","10_0_2.22044604925031e-16",1,TRUE
10,0,2.22044604925031e-16,-2.49988511156081e-06,FALSE,3e+05,"BoundingPair","10_0_2.22044604925031e-16",0.750000833323997,TRUE
10,0,2.22044604925031e-16,-0.000999454789429474,FALSE,1000,"Fixed_1000","10_0_2.22044604925031e-16",299.850549721365,FALSE
10,0,2.22044604925031e-16,-3.33317644525986e-06,FALSE,3e+05,"Fixed_3e+05","10_0_2.22044604925031e-16",1,TRUE
